asset,model,p,q_controls,cv_mae,cv_rmse,oos_mae,oos_rmse,oos_mape,oos_r2,cum_return_buy_hold,cum_return_strategy,q_control,q_ei,q_epi,q_epi_signed,q_ccd,q_intensity,q_surprise,q_split,f_ei,f_epi,f_epi_signed,f_ccd,f_intensity,f_surprise,f_split
r_btc,ARX_baseline,5,0.0,0.0152436398350692,0.0152436398350692,0.0152436398350692,0.0195704812910538,353.3579508526225,-0.0660607225711691,0.3157298256962708,0.4921279160288485,,,,,,,,,,,,,,,
r_gold,ARX_baseline,2,1.0,0.0092739363918018,0.0092739363918018,0.0092739363918018,0.0119820366112982,84.54755170931222,-0.2531239065492092,0.0488071909074598,0.3192529052161847,,,,,,,,,,,,,,,
r_spx,ARX_baseline,1,3.0,0.0099010783258624,0.0099010783258624,0.0099010783258624,0.0156895515048821,646.267835484756,-0.0001624623387506,0.0854994192828253,0.2652731786682452,,,,,,,,,,,,,,,
r_spx_auto,ARX_baseline,2,3.0,0.0230594598544739,0.0230594598544739,0.0230594598544739,0.0336741229408343,272.8500745953861,-0.0186080562271035,0.2566911137369416,0.7481978751940255,,,,,,,,,,,,,,,
r_spx_oilgas,ARX_baseline,1,3.0,0.0100433244501159,0.0100433244501159,0.0100433244501159,0.0141829481715785,269.9571412526061,0.0994104221132319,-0.0714687058020238,0.2963580065395321,,,,,,,,,,,,,,,
r_spx_mach,ARX_baseline,3,1.0,0.0103552640083846,0.0103552640083846,0.0103552640083846,0.0159257842368374,204.84248840056117,-0.0206578144753988,0.0919239077716929,0.2321416677784638,,,,,,,,,,,,,,,
r_spx_elec,ARX_baseline,1,3.0,0.0123769053330607,0.0123769053330607,0.0123769053330607,0.0180986148750981,331.7651389493019,0.0585449563986347,0.2475899960722207,0.3850810212674556,,,,,,,,,,,,,,,
r_aapl,ARX_baseline,5,3.0,0.0166220000223452,0.0166220000223452,0.0166220000223452,0.0255257205850408,298.8151416794989,-0.0176431969225607,0.0823628930989182,0.3280219924380751,,,,,,,,,,,,,,,
r_btc,ARX_emotion,4,,0.0147530836672433,0.0147530836672433,0.0147530836672433,0.0195422240483262,326.0534219083292,,0.2413473560358363,0.5687799701863634,0.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0
r_gold,ARX_emotion,2,,0.0087117851697389,0.0087117851697389,0.0087117851697389,0.0115148090584351,80.8622551864947,,0.0634369140004329,0.396623233548073,1.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
r_spx,ARX_emotion,3,,0.0100561405733086,0.0100561405733086,0.0100561405733086,0.015946458752139,316.2756780010967,,0.0811713058052623,0.2062308758573059,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0
r_spx_auto,ARX_emotion,3,,0.0230594598544739,0.0230594598544739,0.0230594598544739,0.0336741229408343,272.8500745953861,,0.2566911137369416,0.7481978751940255,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,3.0
r_spx_oilgas,ARX_emotion,1,,0.0100431383887251,0.0100431383887251,0.0100431383887251,0.0148663806062677,331.8484190650686,,-0.0714687058020238,0.2955691349047959,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
r_spx_mach,ARX_emotion,1,,0.0103520478585368,0.0103520478585368,0.0103520478585368,0.0159250029903008,204.81017720343152,,0.0919239077716929,0.2322441527296492,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0
r_spx_elec,ARX_emotion,3,,0.0131936671286863,0.0131936671286863,0.0131936671286863,0.0188941298188444,333.75883847919016,,0.240247899758176,0.3167595631059432,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0
r_aapl,ARX_emotion,1,,0.0153297205130613,0.0153297205130613,0.0153297205130613,0.0255827082377393,196.43827844433835,,-0.0369934933201469,0.6450894405709526,3.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0
r_btc,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.015458781198343,0.0193154088145393,302.3277379855913,0.0020585950799113,0.2419221850445989,0.6387102340820885,,,,,,,,,,,,,,,
r_gold,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.0097042495908975,0.0123683395075658,79.041540449194,-0.3670601807875415,0.039852680676873,0.2923238340349079,,,,,,,,,,,,,,,
r_spx,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.01154561230189,0.0189137492159791,565.9870727543513,-0.1001012200270492,0.0315684725466809,0.2242621214001692,,,,,,,,,,,,,,,
r_spx_auto,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.0236287431352181,0.0353663356341104,253.6413659464708,-0.0541210626344428,0.1507784640239691,0.6847664805783522,,,,,,,,,,,,,,,
r_spx_oilgas,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.0127144145877985,0.0208328351137195,291.72603525865054,-0.0010590360960882,-0.1482269684953506,0.3175412606551422,,,,,,,,,,,,,,,
r_spx_mach,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.0122630302623289,0.0200747373578448,193.5789504118162,-0.1015283197550711,0.0048404031784818,0.2806684458199566,,,,,,,,,,,,,,,
r_spx_elec,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.015772764198585,0.0238950649356231,335.7061273305697,-0.0832575374152329,0.1301011464401331,0.4232587977312281,,,,,,,,,,,,,,,
r_aapl,VARX_baseline,2,1.0,0.0146115488052407,0.0171732593547832,0.0188773287891027,0.0299918874984805,255.26716716278295,-0.1011324692122384,-0.1265125575773872,0.5477373666083343,,,,,,,,,,,,,,,
r_btc,VARX_emotion,1,1.0,0.0145857477201276,0.0171425282706286,0.0152957411118493,0.0191479870248191,296.0223197357013,,0.2021627190110979,0.6906716586353043,,1.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0
r_gold,VARX_emotion,1,1.0,0.0145857477201276,0.0171425282706286,0.0094812078130386,0.0122454883773265,76.62837403064526,,0.0468306920918248,0.29985747790337,,1.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0
