event,phase,n,ccd_mean,ccd_std,ccd_engweighted_mean,ccd_engweighted_std,ccd_topicweighted_mean,ccd_topicweighted_std,ccd_engweighted_topicweighted_mean,ccd_engweighted_topicweighted_std
Initial Tariff Announcements,pre,5.0,0.1618225657,0.12900218062823243,0.14677771792,0.13344721586676228,0.16095519130000002,0.11806964748713755,0.11564108512,0.09695811376460026
Initial Tariff Announcements,during,5.0,0.0757960562,0.07395444502387802,0.07365068906,0.0343543421734128,0.10083175156000002,0.08754617229346837,0.14470789728,0.05848626959882162
Initial Tariff Announcements,post,5.0,0.18295572460000004,0.12059251078052136,0.1624059125,0.12676477341655645,0.11256710214000001,0.12238161654337319,0.12568556472,0.07530773479871092
Initial Tariff Announcements,Δ during-pre,,-0.0860265095,,-0.07312702886,,-0.060123439740000006,,0.029066812159999997,
Initial Tariff Announcements,Δ post-during,,0.10715966840000003,,0.08875522344,,0.011735350579999998,,-0.019022332559999994,
Tariffs Postponed,pre,5.0,0.11295274831999999,0.09494271886074646,0.10186539218000001,0.07640868522449377,0.18135310772,0.06651362045322587,0.047617696300000005,0.042745155613137374
Tariffs Postponed,during,3.0,0.05432385863333333,0.0507446094984697,0.049731766133333334,0.02999760648065561,0.13530275323333332,0.10896130871506246,0.10009502120000001,0.01439833187179998
Tariffs Postponed,post,5.0,0.04986790594,0.036646792254247676,0.04257978348000001,0.035844905339292556,0.12370920272000001,0.06416023649649623,0.05349500562,0.04662934899953971
Tariffs Postponed,Δ during-pre,,-0.05862888968666666,,-0.05213362604666668,,-0.04605035448666667,,0.052477324900000004,
Tariffs Postponed,Δ post-during,,-0.004455952693333334,,-0.007151982653333326,,-0.011593550513333314,,-0.04660001558000001,
China Retaliation & US Tariffs,pre,5.0,0.07436725274,0.060152198877120464,0.056108794399999995,0.03968406140944177,0.13466530846,0.10534594389570481,0.1052557188,0.015686863397470437
China Retaliation & US Tariffs,during,4.0,0.050269237675,0.04230338121582241,0.04825520005,0.03870926629060439,0.146607846525,0.04464372306375596,0.035219470075,0.025931195906040337
China Retaliation & US Tariffs,post,5.0,0.14893207047999998,0.1224764076189147,0.13875263164,0.12984013005036651,0.06847190598,0.07980144897325396,0.13760479432,0.04198163835657017
China Retaliation & US Tariffs,Δ during-pre,,-0.024098015065,,-0.007853594349999993,,0.011942538065000008,,-0.070036248725,
China Retaliation & US Tariffs,Δ post-during,,0.09866283280499999,,0.09049743159000001,,-0.078135940545,,0.10238532424499999,
Global Tariffs,pre,5.0,0.07489514402000001,0.0687308566778762,0.08016702768,0.06743967260931502,0.047944213060000004,0.03951898754878762,0.12797779678,0.044890012067643884
Global Tariffs,during,3.0,0.22136928460000002,0.22459949971364737,0.21614648376666667,0.22300260583950912,0.1075454319,0.07689647293468567,0.06916483186666667,0.07941080435149005
Global Tariffs,post,5.0,0.16108419168,0.1318891466467257,0.1613733144,0.1280939942598647,0.14512549708,0.11931974783454605,0.12690914694000002,0.10414274656316864
Global Tariffs,Δ during-pre,,0.14647414058000002,,0.13597945608666667,,0.05960121884,,-0.05881296491333335,
Global Tariffs,Δ post-during,,-0.06028509292000003,,-0.05477316936666668,,0.03758006518,,0.05774431507333336,
