event,phase,n,ei_community_mean,ei_community_std,ei_community_topicweighted_mean,ei_community_topicweighted_std,ei_creator_mean,ei_creator_std,ei_creator_engweighted_mean,ei_creator_engweighted_std,ei_creator_topicweighted_mean,ei_creator_topicweighted_std
Initial Tariff Announcements,pre,5.0,0.048468270960000004,0.12600791112740162,0.0469053427,0.1207458537531479,0.015555570819999998,0.32103222419295513,-0.014534171679999996,0.2964925805722617,0.07136040966,0.31321282118930155
Initial Tariff Announcements,during,5.0,-0.21364666274,0.14939852633380962,-0.2062362635,0.1437950068769365,-0.06871794264,0.08177838421243828,-0.09658963684000002,0.1373678585338446,-0.16992184578,0.2868665937271288
Initial Tariff Announcements,post,5.0,-0.34894679294,0.04820815358940482,-0.33483095142,0.048179542927572455,0.016964656259999995,0.28529496761887313,-0.024134967900000002,0.2964177138784462,-0.11291091764000001,0.29280208198135055
Initial Tariff Announcements,Δ during-pre,,-0.2621149337,,-0.2531416062,,-0.08427351346,,-0.08205546516000002,,-0.24128225543999998,
Initial Tariff Announcements,Δ post-during,,-0.13530013019999998,,-0.12859468792000003,,0.08568259889999999,,0.07245466894000002,,0.057010928139999986,
Tariffs Postponed,pre,5.0,-0.35319401347999996,0.07149280751724267,-0.34022065863999995,0.06875919724085863,-0.13558971576,0.21520111273816053,-0.18015822107999996,0.1997998491163025,0.022485556820000002,0.13421544762596868
Tariffs Postponed,during,3.0,-0.3694312194666667,0.023439385887931985,-0.3547006186000001,0.022673295255066,-0.26078350219999996,0.0932493963926592,-0.29366682253333337,0.08601971515210652,-0.08409511220000003,0.22435515592912592
Tariffs Postponed,post,5.0,-0.33508446578,0.001543031075085496,-0.32221281792,0.0034598808728866903,-0.23534865391999998,0.0739250175836456,-0.27510444946,0.09906504248936449,-0.07479441244,0.12654234703110867
Tariffs Postponed,Δ during-pre,,-0.016237205986666725,,-0.014479959960000122,,-0.12519378643999995,,-0.11350860145333341,,-0.10658066902000003,
Tariffs Postponed,Δ post-during,,0.034346753686666676,,0.03248780068000007,,0.025434848279999978,,0.01856237307333336,,0.00930069976000003,
China Retaliation & US Tariffs,pre,5.0,-0.34447733354,0.042144632598569216,-0.33066797764,0.03999996252064315,-0.19574282806,0.14773836475434649,-0.24647922594,0.12153253832392927,-0.06133736076,0.2273218032558771
China Retaliation & US Tariffs,during,4.0,-0.33563338470000004,0.001079743793690372,-0.32341019215,0.0025304150967056143,-0.235094909375,0.08535874329965053,-0.270597422875,0.1137969900025486,-0.03019449905,0.0899422349449099
China Retaliation & US Tariffs,post,5.0,-0.28249516944,0.0399592047441125,-0.2706579895,0.03877731548523134,-0.37444438904000005,0.4206769163193798,-0.38989840783999996,0.40903083133324986,-0.20082163498,0.2265245773012612
China Retaliation & US Tariffs,Δ during-pre,,0.008843948839999949,,0.007257785490000002,,-0.03935208131499998,,-0.024118196935000003,,0.03114286171,
China Retaliation & US Tariffs,Δ post-during,,0.05313821526000001,,0.052752202650000024,,-0.13934947966500005,,-0.11930098496499997,,-0.17062713593,
Global Tariffs,pre,5.0,-0.31588854982000003,0.04926385739766579,-0.30289744063999996,0.04628293630301113,-0.42757570102,0.1379470031114113,-0.44195185622000005,0.1364202948794313,-0.25595536210000003,0.08977994410783101
Global Tariffs,during,3.0,-0.30238690063333334,0.06524214513531815,-0.28966372926666667,0.06209302388708269,0.055555560199999986,0.5853139800774351,0.04510988236666665,0.5795197213417096,-0.07457286546666667,0.21350686257611534
Global Tariffs,post,5.0,-0.31414801047999996,0.039023529556974315,-0.29452389500000004,0.03896590391569464,-0.36282072408,0.4284535729082204,-0.36793839423999997,0.42412376652594375,-0.10221430814000003,0.3329452980493239
Global Tariffs,Δ during-pre,,0.013501649186666687,,0.01323371137333329,,0.48313126121999994,,0.4870617385866667,,0.18138249663333336,
Global Tariffs,Δ post-during,,-0.011761109846666618,,-0.004860165733333366,,-0.41837628427999995,,-0.4130482766066666,,-0.027641442673333363,
US-China Tariff Threats,pre,5.0,-0.31409160012000004,0.05172373423629417,-0.30017716716000004,0.04970249785281389,-0.06714974980000002,0.4575378351688387,-0.07336560282000001,0.4533427748081325,-0.10005103793999999,0.17526181625697151
US-China Tariff Threats,during,3.0,-0.30248091790000003,0.04421329982418465,-0.280241609,0.04001384668867899,-0.43722939693333335,0.57162525025296,-0.44584476999999995,0.5607513643941462,-0.07817831580000002,0.45400957717989165
US-China Tariff Threats,post,5.0,-0.34301849358,0.06400257988976642,-0.3208521288,0.059841280034424967,-0.08571427346,0.1916629420985661,-0.08418575858,0.18824507892226616,-0.02201973874,0.04564665887468194
US-China Tariff Threats,Δ during-pre,,0.011610682220000001,,0.019935558160000033,,-0.3700796471333333,,-0.37247916717999996,,0.021872722139999967,
US-China Tariff Threats,Δ post-during,,-0.04053757567999994,,-0.04061051980000002,,0.35151512347333336,,0.36165901141999995,,0.05615857706000002,
