event,phase,n,epi_mean,epi_std,epi_engweighted_mean,epi_engweighted_std,epi_topicweighted_mean,epi_topicweighted_std,epi_engweighted_topicweighted_mean,epi_engweighted_topicweighted_std
Initial Tariff Announcements,pre,5.0,0.03949979284,0.04126903997211412,0.035790225999999994,0.0379839594254111,0.03705892694,0.03788647185854391,0.020893561220000002,0.024819789919609456
Initial Tariff Announcements,during,5.0,0.013995717000000001,0.02263363765004922,0.013770108819999998,0.016279791155548597,0.026772473260000002,0.020328294837326222,0.02367689052,0.013749034629214948
Initial Tariff Announcements,post,5.0,0.05309592346000001,0.05372776071586919,0.050751957439999995,0.05331327417310935,0.029602982580000003,0.03629945554708527,0.02033386512,0.015269027165873222
Initial Tariff Announcements,Δ during-pre,,-0.025504075839999998,,-0.022020117179999996,,-0.010286453679999998,,0.002783329299999998,
Initial Tariff Announcements,Δ post-during,,0.03910020646000001,,0.036981848619999994,,0.0028305093200000006,,-0.0033430254000000013,
Tariffs Postponed,pre,5.0,0.02476851018,0.02146314328412657,0.02364735984,0.018018222572958285,0.03979587984,0.019292371630243887,0.0037291636600000006,0.0046131860689641955
Tariffs Postponed,during,3.0,0.015760173533333335,0.013639735510728564,0.015749024866666666,0.008249432929453777,0.03653771493333333,0.027470844423680498,0.010157221233333335,0.002935536873840651
Tariffs Postponed,post,5.0,0.01313064712,0.00873299017542615,0.01169623058,0.008446543452402597,0.02452460544,0.010967576693439701,0.00460115258,0.0065926293893293865
Tariffs Postponed,Δ during-pre,,-0.009008336646666667,,-0.007898334973333334,,-0.0032581649066666662,,0.006428057573333334,
Tariffs Postponed,Δ post-during,,-0.0026295264133333347,,-0.004052794286666666,,-0.012013109493333333,,-0.005556068653333334,
China Retaliation & US Tariffs,pre,5.0,0.01736207058,0.010770408707592178,0.01447788864,0.007563851197624461,0.03482870746000001,0.025488533790627592,0.011275628480000001,0.0033730560738562784
China Retaliation & US Tariffs,during,4.0,0.01297911015,0.010076394867061383,0.013064772525,0.00909062234886063,0.0283651112,0.007877420564585494,0.001744731275,0.001885753220602688
China Retaliation & US Tariffs,post,5.0,0.06693576538,0.09038531360750753,0.06430578462,0.0918190553010772,0.016413942140000002,0.01615283211645203,0.0203450458,0.01208267763380191
China Retaliation & US Tariffs,Δ during-pre,,-0.004382960429999999,,-0.0014131161149999998,,-0.00646359626000001,,-0.009530897205000001,
China Retaliation & US Tariffs,Δ post-during,,0.05395665523,,0.051241012094999996,,-0.011951169059999999,,0.018600314524999998,
Global Tariffs,pre,5.0,0.02974451918,0.02943126181198235,0.03225465012,0.029180198763996103,0.012412247920000001,0.009103583763367208,0.017990407000000003,0.01040142651406189
Global Tariffs,during,3.0,0.09053743539999999,0.12006301671980141,0.0884700032,0.11656348368124196,0.017507405833333333,0.009680184107032324,0.008987824533333334,0.014310057546687531
Global Tariffs,post,5.0,0.0696561046,0.08981556801258885,0.06932636558000001,0.08949143110203034,0.043539248180000004,0.04617560804703838,0.0247825009,0.029046642009357547
Global Tariffs,Δ during-pre,,0.06079291621999999,,0.056215353079999995,,0.005095157913333332,,-0.00900258246666667,
Global Tariffs,Δ post-during,,-0.020881330799999986,,-0.019143637619999987,,0.02603184234666667,,0.015794676366666666,
US-China Tariff Threats,pre,5.0,0.0597631466,0.0949079258453229,0.05902634886,0.09186131065485409,0.0173005698,0.007389239852660847,0.008645909240000001,0.011604499728548922
US-China Tariff Threats,during,3.0,0.10702569873333334,0.10415570216096513,0.10563669773333334,0.10504432168428174,0.06123853646666667,0.055446327177832336,0.03588214396666667,0.03407776922138281
US-China Tariff Threats,post,5.0,0.03221102188,0.009199934095193082,0.031886403480000006,0.00941616989357136,0.007036561620000001,0.010048923000039903,0.0005379417,0.0011968268461318538
US-China Tariff Threats,Δ during-pre,,0.047262552133333344,,0.04661034887333334,,0.04393796666666667,,0.02723623472666667,
US-China Tariff Threats,Δ post-during,,-0.07481467685333335,,-0.07375029425333333,,-0.05420197484666667,,-0.035344202266666666,
Tariffs Relaxed,pre,5.0,0.030776933160000002,0.01946722243939698,0.02952099742,0.018689847150770808,0.03051442062,0.016221943191453127,0.00630188406,0.005171063658155635
Tariffs Relaxed,during,5.0,0.03002308672,0.005572637842050255,0.028616742140000002,0.0047356183070723585,0.031935820260000004,0.007826551428851003,0.0030496638600000002,0.0017788230757785773
Tariffs Relaxed,post,5.0,0.05789837056,0.030016023125235224,0.050036866160000006,0.021830740197275423,0.041327593700000005,0.009763189500476839,0.00204410586,0.0018433048875609764
Tariffs Relaxed,Δ during-pre,,-0.0007538464400000007,,-0.0009042552799999985,,0.0014213996400000047,,-0.0032522202,
Tariffs Relaxed,Δ post-during,,0.02787528384,,0.021420124020000004,,0.00939177344,,-0.0010055580000000001,
Trade Deals,pre,5.0,0.03002308672,0.005572637842050255,0.028616742140000002,0.0047356183070723585,0.031935820260000004,0.007826551428851003,0.0030496638600000002,0.0017788230757785773
Trade Deals,during,8.0,0.062195166925,0.03536623507949171,0.0572644609,0.032992059108083775,0.038990897600000005,0.015129233004510715,0.0019285343750000002,0.0020923614378049417
Trade Deals,post,5.0,0.0405743852,0.008963887012814219,0.03687539758,0.010123142210399139,0.03555363346,0.00706238191811958,0.00872881822,0.008544417478103023
Trade Deals,Δ during-pre,,0.032172080205,,0.02864771876,,0.00705507734,,-0.001121129485,
Trade Deals,Δ post-during,,-0.021620781725000003,,-0.020389063320000005,,-0.003437264140000007,,0.0068002838449999995,
Apple Tariff Threat,pre,5.0,0.04219670604,0.018551057392592902,0.04039886232,0.018242017557453773,0.028761741219999998,0.010225497871045257,0.003934298960000001,0.007541374462561928
Apple Tariff Threat,during,4.0,0.028564569975,0.015329259739165867,0.025271701875,0.01339806036069471,0.028759336625000003,0.012011852223748934,0.013011283750000002,0.00614420715067676
Apple Tariff Threat,post,5.0,0.02581915756,0.005033336398804186,0.024952479860000005,0.005029849018211655,0.0231993685,0.00640684732344182,0.00461021348,0.0025515940736373873
Apple Tariff Threat,Δ during-pre,,-0.013632136064999998,,-0.015127160445,,-2.404594999994708e-06,,0.009076984790000001,
Apple Tariff Threat,Δ post-during,,-0.002745412414999999,,-0.00031922201499999525,,-0.005559968125000002,,-0.008401070270000002,
