event,phase,n,intensity_mean,intensity_std,intensity_engweighted_mean,intensity_engweighted_std,intensity_topicweighted_mean,intensity_topicweighted_std,intensity_engweighted_topicweighted_mean,intensity_engweighted_topicweighted_std,split_mean,split_std
Initial Tariff Announcements,pre,5.0,0.1618225657,0.12900218062823243,0.14677771792,0.13344721586676228,0.16095519130000002,0.11806964748713755,0.11564108512,0.09695811376460026,0.98494843174,0.019533989942740384
Initial Tariff Announcements,during,5.0,0.1411823027,0.09174477438552284,0.16233741972,0.12397521844984709,0.24782589588,0.10857310721936375,0.14470789728,0.05848626959882162,0.9364991677400001,0.08966052073181671
Initial Tariff Announcements,post,5.0,0.26599105584,0.08467697420029863,0.2849950614,0.0657432510416745,0.2931009252,0.07792229252792518,0.12568556472,0.07530773479871092,0.8763769148200001,0.03167191653371925
Initial Tariff Announcements,Δ during-pre,,-0.020640262999999992,,0.015559701799999992,,0.08687070457999999,,0.029066812159999997,,-0.048449263999999936,
Initial Tariff Announcements,Δ post-during,,0.12480875313999998,,0.12265764168000004,,0.045275029319999965,,-0.019022332559999994,,-0.06012225291999995,
Tariffs Postponed,pre,5.0,0.27057368084,0.09159385255933986,0.27463439654000005,0.10340029693168509,0.21772798562,0.04688662728920302,0.047617696300000005,0.042745155613137374,0.8711650115599999,0.05387023767091981
Tariffs Postponed,during,3.0,0.3151073608333334,0.045248336736791114,0.331549021,0.03895202571725177,0.2774452406,0.024433807926063804,0.10009502120000001,0.01439833187179998,0.8631543042333334,0.017429134324385816
Tariffs Postponed,post,5.0,0.28521655986,0.03729151649292799,0.30509445764,0.049811924669051655,0.21460136486000003,0.04597365564815158,0.05349500562,0.04662934899953971,0.887716496,0.0010334911289495863
Tariffs Postponed,Δ during-pre,,0.04453367999333341,,0.05691462445999995,,0.05971725497999997,,0.052477324900000004,,-0.008010707326666533,
Tariffs Postponed,Δ post-during,,-0.02989080097333341,,-0.026454563360000016,,-0.06284387573999994,,-0.04660001558000001,,0.02456219176666663,
China Retaliation & US Tariffs,pre,5.0,0.27811008048,0.07424924845095421,0.29547827972,0.07592250862646986,0.27058961408,0.02644225304598328,0.1052557188,0.015686863397470437,0.8799144306400001,0.02836370713325413
