event,phase,n,epi_signed_mean,epi_signed_std,epi_signed_engweighted_mean,epi_signed_engweighted_std,epi_signed_topicweighted_mean,epi_signed_topicweighted_std,epi_signed_engweighted_topicweighted_mean,epi_signed_engweighted_topicweighted_std
Initial Tariff Announcements,pre,5.0,-0.0019492029200000028,0.060404275206266865,-0.005738527919999998,0.05479774759681594,0.010074753620000002,0.055001945480945794,0.01049503318,0.03200024914605011
Initial Tariff Announcements,during,5.0,-0.013995717000000001,0.02263363765004922,-0.013770108819999998,0.016279791155548597,-0.00464643862,0.03580795284225626,-0.0147526618,0.02485414646239054
Initial Tariff Announcements,post,5.0,0.006319654779999998,0.07975412895867177,0.0074780637200000015,0.07740868741166018,0.006731864620000002,0.048543008698236245,-0.008351864760000001,0.0257445862809728
Initial Tariff Announcements,Δ during-pre,,-0.01204651408,,-0.0080315809,,-0.014721192240000002,,-0.02524769498,
Initial Tariff Announcements,Δ post-during,,0.02031537178,,0.02124817254,,0.011378303240000002,,0.00640079704,
Tariffs Postponed,pre,5.0,-0.02476851018,0.02146314328412657,-0.02364735984,0.018018222572958285,-0.03979587984,0.019292371630243887,0.0007288585799999998,0.006164476390875914
Tariffs Postponed,during,3.0,-0.015760173533333335,0.013639735510728564,-0.015749024866666666,0.008249432929453777,-0.03653771493333333,0.027470844423680498,-0.005102965633333334,0.01114947102465058
Tariffs Postponed,post,5.0,-0.01313064712,0.00873299017542615,-0.01169623058,0.008446543452402597,-0.02452460544,0.010967576693439701,-0.004045159259999999,0.0070336247267782
Tariffs Postponed,Δ during-pre,,0.009008336646666667,,0.007898334973333334,,0.0032581649066666662,,-0.005831824213333334,
Tariffs Postponed,Δ post-during,,0.0026295264133333347,,0.004052794286666666,,0.012013109493333333,,0.0010578063733333344,
China Retaliation & US Tariffs,pre,5.0,-0.01736207058,0.010770408707592178,-0.01447788864,0.007563851197624461,-0.03482870746000001,0.025488533790627592,-0.00429121876,0.012136064281446136
China Retaliation & US Tariffs,during,4.0,-0.01297911015,0.010076394867061383,-0.013064772525,0.00909062234886063,-0.0283651112,0.007877420564585494,-0.0010497396250000002,0.0024790274567332627
