event,phase,n,surprise_mean,surprise_std,surprise_engweighted_mean,surprise_engweighted_std,surprise_topicweighted_mean,surprise_topicweighted_std,surprise_engweighted_topicweighted_mean,surprise_engweighted_topicweighted_std
Initial Tariff Announcements,pre,5.0,0.041612064520000006,0.010963591770995722,0.042511195300000006,0.00926166938489462,0.03788459756,0.016805246379651688,0.0386072736,0.015842094466934877
Initial Tariff Announcements,during,5.0,0.04299587632,0.00743781935736803,0.04251769568,0.005369078066273345,0.043335236140000004,0.008846868641166286,0.04177345458,0.0061439651463638684
Initial Tariff Announcements,post,5.0,0.04405671112,0.00881416835243213,0.04391645350000001,0.008645301031642853,0.04306813784,0.00906133463465932,0.04273078952,0.008652051332793545
Initial Tariff Announcements,Δ during-pre,,0.0013838117999999955,,6.5003799999963086e-06,,0.005450638580000007,,0.0031661809800000024,
Initial Tariff Announcements,Δ post-during,,0.0010608348000000004,,0.0013987578200000059,,-0.00026709830000000434,,0.0009573349399999986,
Tariffs Postponed,pre,5.0,0.03666777198,0.002075381896679754,0.03709605886,0.0035063995676573785,0.03480093376,0.005130548003028262,0.0344296347,0.005277474387522056
Tariffs Postponed,during,3.0,0.04218982856666667,0.008782844355639923,0.0421805334,0.008854549174652752,0.04100235373333334,0.009363507570678184,0.040847357933333335,0.009315868727819721
Tariffs Postponed,post,5.0,0.039861286600000004,0.006142449655017204,0.04001533646,0.006279654440428389,0.03951239604,0.006931379071021052,0.03968283754,0.007084638534379892
Tariffs Postponed,Δ during-pre,,0.005522056586666671,,0.005084474539999995,,0.006201419973333337,,0.006417723233333332,
Tariffs Postponed,Δ post-during,,-0.002328541966666667,,-0.0021651969399999957,,-0.0014899576933333353,,-0.0011645203933333334,
China Retaliation & US Tariffs,pre,5.0,0.041526872000000006,0.007863494561504925,0.041582296500000004,0.00806808784937834,0.04041175662,0.008746319489972383,0.04036340946,0.008908030845120481
China Retaliation & US Tariffs,during,4.0,0.038018637575,0.00526028017222831,0.038072355025,0.005235542074121036,0.037508828,0.006107109667880702,0.037587009725,0.006135104673074139
China Retaliation & US Tariffs,post,5.0,0.04664264652,0.005332893405710202,0.04633892296,0.005382735720028762,0.0466645934,0.0034805754956206704,0.046216045780000006,0.0034024757712696595
