asset,feature,coef,se,pvalue,stars,ci_lower_95,ci_upper_95,sig_95
r_btc,r_btc_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_gold_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_auto_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_oilgas_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_mach_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_elec_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_aapl_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_btc_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_gold_lag2,-0.0,0.0,1.0,,0.0,-0.0,False
r_btc,r_spx_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_auto_lag2,0.0,0.0,1.0,,0.0,-0.0,False
r_btc,r_spx_oilgas_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_mach_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_spx_elec_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,r_aapl_lag2,0.0,0.0,1.0,,0.0,0.0,False
r_btc,dln_eurusd_xlag0,-0.0,0.0,1.0,,0.0,-0.0,False
r_btc,dln_usdcny_xlag0,-0.0,0.0,1.0,,0.0,0.0,False
r_btc,dln_oil_xlag0,0.0,0.0,1.0,,0.0,0.0,False
r_btc,dy10_xlag0,0.0,0.0,1.0,,0.0,0.0,False
r_btc,dln_eurusd_xlag1,-0.0,0.0,1.0,,0.0,0.0,False
r_btc,dln_usdcny_xlag1,-0.0,0.0,1.0,,0.0,0.0,False
r_btc,dln_oil_xlag1,-0.0,2.0712470143336714e-05,1.0,,0.0,-0.0,False
r_btc,dy10_xlag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_btc_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_gold_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_spx_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_spx_auto_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_spx_oilgas_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_spx_mach_lag1,0.0,0.0,1.0,,0.0,0.0,False
r_gold,r_spx_elec_lag1,0.0,0.0,1.0,,0.0,0.0,False
