asset,feature,mean_abs_shap
r_btc,r_btc_lag1,0.0
r_btc,r_gold_lag1,0.0
r_btc,r_spx_lag1,0.0
r_btc,r_btc_lag2,0.0
r_btc,r_gold_lag2,0.0
r_btc,r_spx_lag2,0.0
r_btc,r_btc_lag3,0.0
r_btc,r_gold_lag3,0.0
r_btc,r_spx_lag3,0.0
r_btc,r_btc_lag4,0.0
r_btc,r_gold_lag4,0.0
r_btc,r_spx_lag4,0.0
r_btc,dln_eurusd_xlag0,0.0
r_btc,dln_usdcny_xlag0,0.0
r_btc,dln_oil_xlag0,0.0
r_btc,dy10_xlag0,0.0
r_btc,dln_eurusd_xlag1,0.0
r_btc,dln_usdcny_xlag1,0.0
r_btc,dln_oil_xlag1,0.0
r_btc,dy10_xlag1,0.0
r_btc,dln_eurusd_xlag2,0.0
r_btc,dln_usdcny_xlag2,0.0
r_btc,dln_oil_xlag2,0.0
r_btc,dy10_xlag2,0.0
r_btc,dln_eurusd_xlag3,0.0
r_btc,dln_usdcny_xlag3,0.0
r_btc,dln_oil_xlag3,0.0
r_btc,dy10_xlag3,0.0
r_btc,ei_community_xlag0,0.0
r_btc,ei_community_topicweighted_xlag0,0.0
r_btc,ei_creator_xlag0,0.0
r_btc,ei_creator_engweighted_xlag0,0.0
r_btc,ei_creator_engweighted_topicweighted_xlag0,0.0
r_btc,ei_creator_topicweighted_xlag0,0.0
r_btc,ei_community_xlag1,0.0
r_btc,ei_community_topicweighted_xlag1,0.0
r_btc,ei_creator_xlag1,0.0
r_btc,ei_creator_engweighted_xlag1,0.0
r_btc,ei_creator_engweighted_topicweighted_xlag1,0.0
r_btc,ei_creator_topicweighted_xlag1,0.0
r_btc,ei_community_xlag2,0.0
r_btc,ei_community_topicweighted_xlag2,0.0
r_btc,ei_creator_xlag2,0.0
r_btc,ei_creator_engweighted_xlag2,0.0
r_btc,ei_creator_engweighted_topicweighted_xlag2,0.0
r_btc,ei_creator_topicweighted_xlag2,0.0
r_btc,ei_community_xlag3,0.0
r_btc,ei_community_topicweighted_xlag3,0.0
r_btc,ei_creator_xlag3,0.0
r_btc,ei_creator_engweighted_xlag3,0.0
r_btc,ei_creator_engweighted_topicweighted_xlag3,0.0
r_btc,ei_creator_topicweighted_xlag3,0.0
r_btc,epi_xlag0,0.0
r_btc,epi_engweighted_xlag0,0.0
r_btc,epi_engweighted_topicweighted_xlag0,0.0
r_btc,epi_signed_xlag0,0.0
r_btc,epi_signed_engweighted_xlag0,0.0
r_btc,epi_signed_engweighted_topicweighted_xlag0,0.0
r_btc,epi_signed_topicweighted_xlag0,0.0
r_btc,epi_topicweighted_xlag0,0.0
r_btc,epi_xlag1,0.0
r_btc,epi_engweighted_xlag1,0.0
r_btc,epi_engweighted_topicweighted_xlag1,0.0
r_btc,epi_signed_xlag1,0.0
r_btc,epi_signed_engweighted_xlag1,0.0
r_btc,epi_signed_engweighted_topicweighted_xlag1,0.0
r_btc,epi_signed_topicweighted_xlag1,0.0
r_btc,epi_topicweighted_xlag1,0.0
r_btc,epi_xlag2,0.0
r_btc,epi_engweighted_xlag2,0.0
r_btc,epi_engweighted_topicweighted_xlag2,0.0
r_btc,epi_signed_xlag2,0.0
r_btc,epi_signed_engweighted_xlag2,0.0
