Model,Asset,RMSE,MAE,Dir Acc (%)
Baseline,r_btc,0.02543161833395669,0.019162698133860435,53.48837209302325
Baseline,r_gold,0.01928781112536301,0.015793068004581044,44.18604651162791
Baseline,r_spx,0.02288271113538675,0.01460214745037898,41.86046511627907
+ epi,r_btc,0.02573920228515003,0.01899139679399711,58.139534883720934
+ epi,r_gold,0.01928781112536301,0.015793068004581044,44.18604651162791
+ epi,r_spx,0.02290739997772037,0.014860059984268717,41.86046511627907
+ epi_weighted,r_btc,0.025924165256355294,0.019846610703126627,60.46511627906976
+ epi_weighted,r_gold,0.019265993379272043,0.015736854159780676,48.837209302325576
+ epi_weighted,r_spx,0.02285519157768864,0.01452887907593373,41.86046511627907
+ epi_lagged,r_btc,0.026359322016327492,0.018982349077560003,60.46511627906976
+ epi_lagged,r_gold,0.019265142630928683,0.015877020844879543,48.837209302325576
+ epi_lagged,r_spx,0.022871778922034056,0.01437588042194618,41.86046511627907
+ epi_asymmetric,r_btc,0.025823016667485623,0.019209397977083754,53.48837209302325
+ epi_asymmetric,r_gold,0.01928781112536301,0.015793068004581044,44.18604651162791
+ epi_asymmetric,r_spx,0.02290739997772037,0.014860059984268717,41.86046511627907
+ epi_full,r_btc,0.02662184604320359,0.019591023103027967,55.81395348837209
+ epi_full,r_gold,0.01933703867926433,0.01589358911679928,48.837209302325576
+ epi_full,r_spx,0.022619406411817294,0.014353383124257078,46.51162790697674
+ epi_weighted_full,r_btc,0.025801132618959617,0.019347705577132668,62.7906976744186
+ epi_weighted_full,r_gold,0.019265633613467045,0.015845659910169067,44.18604651162791
+ epi_weighted_full,r_spx,0.022719881895231928,0.014059032659329186,41.86046511627907
