Model,Asset,RMSE Improvement (%),Dir Acc Improvement (pp)
+ epi,r_btc,-1.209454888612622,4.651162790697683
+ epi_weighted,r_btc,-1.9367502135754733,6.97674418604651
+ epi_lagged,r_btc,-3.647835816771912,6.97674418604651
+ epi_asymmetric,r_btc,-1.5390225206641044,0.0
+ epi_full,r_btc,-4.680109985992092,2.3255813953488413
+ epi_weighted_full,r_btc,-1.4529719664341916,9.302325581395351
+ epi,r_gold,0.0,0.0
+ epi_weighted,r_gold,0.11311675518367832,4.6511627906976685
+ epi_lagged,r_gold,0.1175275633247895,4.6511627906976685
+ epi_asymmetric,r_gold,0.0,0.0
+ epi_full,r_gold,-0.2552262337149626,4.6511627906976685
+ epi_weighted_full,r_gold,0.11498200470659896,0.0
+ epi,r_spx,-0.10789299479220407,0.0
+ epi_weighted,r_spx,0.1202635366731205,0.0
+ epi_lagged,r_spx,0.04777499173071684,0.0
+ epi_asymmetric,r_spx,-0.10789299479220407,0.0
+ epi_full,r_spx,1.1506710110161364,4.6511627906976685
+ epi_weighted_full,r_spx,0.7115819414554297,0.0
